Your Custom Skill,Potential Lightcast Skill(s),Potential Lightcast Category (Family),Notes
"Deep Learning tools and frameworks (TensorFlow, Caffe2, etc.)","TensorFlow, PyTorch, Deep Learning, Machine Learning","Information Technology","Maps to specific frameworks and the technique."
Python,"Python (Programming Language)","Information Technology","Direct match."
"TESTING, RELIABILITY & SAFETY RELATED",,,
"Accelerated Stress Testing (ALT, HALT, RET)","Reliability Engineering, Environmental Testing, Stress Testing","Engineering / Quality","HALT/HASS might be specific Lightcast skills."
"Accident, Incident, or Safety Event Investigation","Safety Engineering, Incident Investigation, Root Cause Analysis","Engineering / Safety / Quality",
"ESD Testing","Electrostatic Discharge (ESD), Environmental Testing, Electronics Testing","Engineering / Quality",
"Failure Modes and Effects Analysis (FMEA/MES/FMECA)","Failure Modes and Effects Analysis (FMEA), Reliability Engineering, Risk Management","Engineering / Quality","FMEA is a standard skill."
"Failure Reporting, Analysis, and Corrective Action System (FRACAS)","FRACAS, Reliability Engineering, Quality Management Systems","Engineering / Quality","FRACAS might be a specific skill."
"Fatigue Testing and Validation","Material Testing, Fatigue Analysis, Mechanical Testing, Validation","Engineering / Quality",
"Maintainability Demonstration/Testing","Maintainability, Reliability Engineering, Testing","Engineering / Quality",
"Product Security Evaluation","Cybersecurity, Product Security, Vulnerability Assessment","Information Technology / Engineering",
"Reliability Assessment","Reliability Engineering, Statistical Analysis","Engineering / Quality",
"SYSTEMS, PROCESS & MANAGEMENT RELATED",,,
"Agile Methodologies","Agile Methodologies, Project Management","Business / Project Management / IT","Direct match likely."
"Airworthiness Authority/Customer Coordination","Airworthiness, Regulatory Compliance, Aerospace Engineering, Customer Relations","Engineering / Compliance / Business","Multi-faceted skill."
"Configuration Architecture","Configuration Management, System Architecture","Engineering / Information Technology",
"Design for Reliability","Design for Reliability (DfR), Reliability Engineering","Engineering / Quality","DfR is often a specific skill."
"Export Control Compliance and Integration for Electronic Components","Export Compliance, International Trade Compliance, Regulatory Compliance","Compliance / Legal / Engineering","Specific compliance area."
"MBSE (Model-based Systems Engineering)","Model-Based Systems Engineering (MBSE), Systems Engineering, SysML",Engineering,"MBSE is a standard skill."
"Product Lifecycle Management (PLM) Systems","Product Lifecycle Management (PLM) Software, Data Management","Engineering / Manufacturing / IT","PLM is standard."
"Requirements Allocation / Derivation / Management","Requirements Management, Systems Engineering","Engineering / Project Management","Core Systems Engineering skills."
"Supplier Management & Oversight","Supplier Management, Supply Chain Management, Quality Auditing","Business / Supply Chain / Quality",
"Systems Thinking",Systems Thinking,"Business / Engineering / Leadership","Often categorized as a soft/conceptual skill."
